team_id,school name,full school name,nickname,conference,place,reg
21054,Niagara,Niagara University,Purple Eagles,Metro Atlantic Athletic Conference,"Niagara Falls,New York",NY
20216,Nicholls State,Nicholls State University,Colonels,Southland Conference,"Thibodaux,Louisiana",LA
20411,Norfolk State,Norfolk State University,Spartans,Mid-Eastern Athletic Conference,"Norfolk,Virginia",VA
20095,North Alabama,University of North Alabama,Lions,Atlantic Sun Conference,"Florence,Alabama",AL
20006,North Carolina,University of North Carolina,Tar Heels,Atlantic Coast Conference,"Chapel Hill,North Carolina",NC
20412,North Carolina A&T,North Carolina A&T State University,Aggies,Mid-Eastern Athletic Conference,"Greensboro,North Carolina",NC
22353,North Carolina Central,North Carolina Central University,Aggies,Mid-Eastern Athletic Conference,"Durham,North Carolina",NC
20235,North Carolina State,North Carolina State University,Wolfpack,Atlantic Coast Conference,"Raleigh,North Carolina",NC
20413,North Dakota State,North Dakota State University,Bison,Summit League,"Fargo,North Dakota",ND
20342,North Florida,University of North Florida,Ospreys,Atlantic Sun Conference,"Jacksonville,Florida",FL
20328,Northeastern,Northeastern University,Huskies,Colonial Athletic Association,"Boston,Massachusetts",MA
20462,Northern Colorado,University of Northern Colorado,Bears,Western Athletic Conference,"Greeley,Colorado",CO
20463,Northern Illinois,Northern Illinois University,Huskies,Mid-American Conference,"DeKalb,Illinois",IL
20860,Northern Kentucky,Northern Kentucky University,Norse,Horizon League,"Erlanger,Kentucky",KY
20037,Northwestern,Northwestern University,Wildcats,Big Ten Conference,"Evanston,Illinois",IL
20317,Northwestern State,Northwestern State University,Demons,Southland Conference,"Natchitoches,Louisiana",LA
20151,Notre Dame,University of Notre Dame,Fighting Irish,Atlantic Coast Conference,"South Bend,Indiana",IN
21632,Oakland,Oakland University,Golden Grizzlies,Horizon League,"Auburn Hills,Michigan",MI
20499,Ohio,Ohio University,Bobcats,Mid-American Conference,"Athens,Ohio",OH
20152,Ohio State,Ohio State University,Buckeyes,Big Ten Conference,"Columbus,Ohio",OH
20214,Oklahoma,University of Oklahoma,Sooners,Big 12 Conference,"Norman,Oklahoma",OK
20093,Oklahoma State,Oklahoma State University,Cowboys,Big 12 Conference,"Stillwater,Oklahoma",OK
20153,Old Dominion,Old Dominion University,Monarchs,Conference USA,"Norfolk,Virginia",VA
20085,Ole Miss,University of Mississippi,Rebels,Southeastern Conference,"Oxford,Mississippi",MS
20024,Oral Roberts,Oral Roberts University,Golden Eagles,Summit League,"Tulsa,Oklahoma",OK
20465,Oregon,University of Oregon,Ducks,Pacific-12 Conference,"Eugene,Oregon",OR
20272,Oregon State,Oregon State University,Beavers,Pacific-12 Conference,"Corvallis,Oregon",OR
20241,Pacific,Pacific,Tigers,West Coast Conference,"Stockton,California",CA
20185,Penn,University of Pennsylvania,Quakers,Ivy League,"Philadelphia,Pennsylvania",PA
20348,Penn State,Penn State University,Nittany Lions,Big Ten Conference,"University Park,Pennsylvania",PA
20074,Pepperdine,Pepperdine University,Waves,West Coast Conference,"Malibu,California",CA
